%L (nm)	Rep_DSS  (V/W)
400	9.33113858889409
410	9.60823354666189
420	10.5586527768828
430	11.4096353359572
440	12.1238231399838
450	12.5513362837485
460	13.2573871794417
470	14.0115327257459
480	14.9295723281317
490	15.7343392552457
500	16.3956480704831
510	16.984904976226
520	17.829290529359
530	18.3135428577653
540	19.2007223325399
550	19.8881010579915
560	20.6975263704815
570	21.3948672595844
580	21.9285176261856
590	22.3464605494139
600	23.1245975422272
610	23.7828529275071
620	24.3479022732231
630	24.9209499737398
640	25.4853927204436
650	26.0267482412736
660	26.4396564495974
670	26.7018438944583
680	27.0910683376631
690	27.3564762708886
700	27.4696050908318
710	27.5857274003169
720	28.1544715475731
730	29.1584866504873
740	29.1948637740483
750	29.0611212043494
760	29.1890310288492
770	29.1163693000703
780	29.2122375610104
790	29.5037458696346
800	29.7295301581617
810	29.890928877676
820	30.0891478288093
830	30.0134178830642
840	30.2100258347778
850	30.1482144365288
860	30.4684054288957
870	30.4484545644762
880	30.5019109782222
890	30.5808835940219
900	30.4974944689819
