Wavelength(nm)	Puissances(W)
400.0	0.05524633409834475
410.0	0.06734424170511384
420.0	0.07554264207327041
430.0	0.08385069607350452
440.0	0.08567977983859683
450.0	0.0943414253455379
460.0	0.10803332713815796
470.0	0.12110673689531991
480.0	0.12971058346065417
490.0	0.13681283116368048
500.0	0.14358209640943184
510.0	0.14985842856408987
520.0	0.1529468265028713
530.0	0.15808488157268694
540.0	0.15888997985482664
550.0	0.16046744307154195
560.0	0.1602023405220297
570.0	0.15991872190594097
580.0	0.15990033337959342
590.0	0.1599601104341801
600.0	0.15683273332005357
610.0	0.1541902802894194
620.0	0.15187350962620597
630.0	0.14918821654065328
640.0	0.14611562266916375
650.0	0.14271799619284634
660.0	0.13963569546579466
670.0	0.1370646167532861
680.0	0.13382335202926635
690.0	0.13118835968167894
700.0	0.12881549855920596
710.0	0.12150707573448098
720.0	0.1636241267490503
